timestamp_utc,instrument,action,reason_code,p_model_up,p_market_up,edge,balance,position_qty,position_value,total_equity,price
2026-05-08T11:25:00+00:00,SOLUSDT,HOLD,HOLD,0.4972,0.8684,0.3712,100.17,0.0,0.0,100.17,88.66
2026-05-08T11:30:00+00:00,SOLUSDT,HOLD,HOLD,0.4944,0.8684,0.374,100.17,0.0,0.0,100.17,88.66
2026-05-08T11:35:00+00:00,SOLUSDT,HOLD,HOLD,0.4718,0.7368,0.265,100.17,0.0,0.0,100.17,88.61
2026-05-08T11:40:00+00:00,SOLUSDT,HOLD,HOLD,0.435,0.5,0.065,100.17,0.0,0.0,100.17,88.52
2026-05-08T11:45:00+00:00,SOLUSDT,HOLD,HOLD,0.5423,0.8158,0.2735,100.17,0.0,0.0,100.17,88.64
2026-05-08T11:50:00+00:00,SOLUSDT,HOLD,HOLD,0.5564,0.9,0.3436,100.17,0.0,0.0,100.17,88.68
2026-05-08T11:55:00+00:00,SOLUSDT,HOLD,HOLD,0.4887,0.7308,0.2421,100.17,0.0,0.0,100.17,88.64
2026-05-08T12:00:00+00:00,SOLUSDT,HOLD,HOLD,0.4661,0.56,0.0939,100.17,0.0,0.0,100.17,88.6
2026-05-08T12:05:00+00:00,SOLUSDT,HOLD,EDGE_TOO_LOW,0.4774,0.48,0.0026,100.17,0.0,0.0,100.17,88.58
2026-05-08T12:10:00+00:00,SOLUSDT,HOLD,EDGE_TOO_LOW,0.5169,0.5263,0.0094,100.17,0.0,0.0,100.17,88.62
2026-05-08T12:15:00+00:00,SOLUSDT,HOLD,EDGE_TOO_LOW,0.5113,0.5263,0.015,100.17,0.0,0.0,100.17,88.62
2026-05-08T12:20:00+00:00,SOLUSDT,HOLD,HOLD,0.4718,0.2632,0.2086,100.17,0.0,0.0,100.17,88.57
2026-05-08T12:25:00+00:00,SOLUSDT,HOLD,HOLD,0.5648,1.0,0.4352,100.17,0.0,0.0,100.17,88.71
2026-05-08T12:30:00+00:00,SOLUSDT,HOLD,HOLD,0.5113,0.7368,0.2255,100.17,0.0,0.0,100.17,88.66
2026-05-08T12:35:00+00:00,SOLUSDT,HOLD,EDGE_TOO_LOW,0.4577,0.4737,0.016,100.17,0.0,0.0,100.17,88.61
2026-05-08T12:40:00+00:00,SOLUSDT,HOLD,HOLD,0.5535,1.0,0.4465,100.17,0.0,0.0,100.17,88.73
2026-05-08T12:45:00+00:00,SOLUSDT,HOLD,HOLD,0.4435,0.2381,0.2054,100.17,0.0,0.0,100.17,88.57
2026-05-08T12:50:00+00:00,SOLUSDT,HOLD,HOLD,0.4435,0.1429,0.3006,100.17,0.0,0.0,100.17,88.55
2026-05-08T12:55:00+00:00,SOLUSDT,HOLD,HOLD,0.4435,0.0,0.4435,100.17,0.0,0.0,100.17,88.46
2026-05-08T13:00:00+00:00,SOLUSDT,HOLD,HOLD,0.5028,0.1852,0.3176,100.17,0.0,0.0,100.17,88.51
2026-05-08T13:05:00+00:00,SOLUSDT,HOLD,HOLD,0.4576,0.0,0.4576,100.17,0.0,0.0,100.17,88.41
2026-05-08T13:10:00+00:00,SOLUSDT,HOLD,HOLD,0.3981,0.0,0.3981,100.17,0.0,0.0,100.17,88.28
2026-05-08T13:15:00+00:00,SOLUSDT,HOLD,HOLD,0.5255,0.2444,0.2811,100.17,0.0,0.0,100.17,88.39
2026-05-08T13:20:00+00:00,SOLUSDT,BUY,BUY_EXECUTED,0.5932,0.4889,0.1043,75.12,0.282954,25.04,100.17,88.5
2026-05-08T13:25:00+00:00,SOLUSDT,HOLD,HOLD,0.4122,0.0222,0.39,75.12,0.282954,24.98,100.11,88.29
2026-05-08T13:30:00+00:00,SOLUSDT,BUY,BUY_EXECUTED,0.5593,0.4889,0.0704,56.34,0.495169,43.82,100.17,88.5
2026-05-08T13:35:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.3553,0.0,0.3553,56.34,0.495169,43.64,99.99,88.14
2026-05-08T13:40:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.3808,0.0,0.3808,56.34,0.495169,43.63,99.97,88.11
2026-05-08T13:45:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.5934,0.2903,0.3031,56.34,0.495169,43.72,100.06,88.29
2026-05-08T13:50:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.5453,0.2742,0.2711,56.34,0.495169,43.71,100.06,88.28
2026-05-08T13:55:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.5311,0.371,0.1601,56.34,0.495169,43.74,100.09,88.34
2026-05-08T14:00:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.6749,0.8226,0.1477,56.34,0.495169,43.88,100.23,88.62
2026-05-08T14:05:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.6577,1.0,0.3423,56.34,0.495169,43.95,100.29,88.76
2026-05-08T14:10:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.5732,1.0,0.4268,56.34,0.495169,43.98,100.32,88.82
2026-05-08T14:15:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.7856,1.0,0.2144,56.34,0.495169,44.22,100.56,89.3
2026-05-08T14:20:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.6679,1.0,0.3321,56.34,0.495169,44.25,100.59,89.36
2026-05-08T14:25:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.3428,0.752,0.4092,56.34,0.495169,44.09,100.44,89.05
2026-05-08T14:30:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.4355,0.784,0.3485,56.34,0.495169,44.11,100.46,89.09
2026-05-08T14:35:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.5785,0.88,0.3015,56.34,0.495169,44.17,100.52,89.21
2026-05-08T14:40:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.5392,0.888,0.3488,56.34,0.495169,44.18,100.52,89.22
2026-05-08T14:45:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.4523,0.816,0.3637,56.34,0.495169,44.13,100.48,89.13
