ts,structure,adx,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-08T01:05:00+00:00,BEARISH,20.8,NO_TRADE,NO_BREAKOUT,88.29,88.3,88.15,88.21,0,0,0,0,100.0
2026-05-08T01:10:00+00:00,BEARISH,20.4,PLACE_SELL_STOP,TRADE_PLACED_RR1.0,88.21,88.21,87.98,88.02,88.10802,88.316738,87.899302,1.0,100.0
2026-05-08T01:15:00+00:00,BEARISH,20.2,NO_TRADE,NO_BREAKOUT,88.01,88.14,87.92,88.14,0,0,0,0,98.0
2026-05-08T01:20:00+00:00,BEARISH,19.9,NO_TRADE,ADX_TOO_LOW(19.9),88.14,88.17,88.06,88.09,0,0,0,0,98.0
2026-05-08T01:25:00+00:00,BEARISH,19.2,NO_TRADE,ADX_TOO_LOW(19.2),88.1,88.21,88.09,88.2,0,0,0,0,98.0
2026-05-08T01:30:00+00:00,BEARISH,19.5,NO_TRADE,ADX_TOO_LOW(19.5),88.21,88.3,88.19,88.26,0,0,0,0,98.0
2026-05-08T01:35:00+00:00,BEARISH,18.8,NO_TRADE,ADX_TOO_LOW(18.8),88.25,88.25,88.14,88.21,0,0,0,0,98.0
2026-05-08T01:40:00+00:00,BEARISH,19.4,NO_TRADE,ADX_TOO_LOW(19.4),88.21,88.28,88.19,88.2,0,0,0,0,98.0
2026-05-08T01:45:00+00:00,BEARISH,19.7,NO_TRADE,ADX_TOO_LOW(19.7),88.2,88.25,88.15,88.16,0,0,0,0,98.0
2026-05-08T01:50:00+00:00,BEARISH,21.0,NO_TRADE,NO_BREAKOUT,88.16,88.17,88.12,88.15,0,0,0,0,98.0
2026-05-08T01:55:00+00:00,BEARISH,22.4,NO_TRADE,NO_BREAKOUT,88.14,88.21,88.13,88.13,0,0,0,0,98.0
2026-05-08T02:00:00+00:00,BEARISH,22.5,PLACE_SELL_STOP,TRADE_PLACED_RR1.0,88.14,88.16,87.83,87.91,87.99791,88.203765,87.792055,1.0,100.71
2026-05-08T02:05:00+00:00,BEARISH,24.0,NO_TRADE,NO_BREAKOUT,87.92,87.95,87.79,87.89,0,0,0,0,101.42
2026-05-08T02:10:00+00:00,BEARISH,25.4,NO_TRADE,NO_BREAKOUT,87.88,87.97,87.87,87.94,0,0,0,0,101.42
2026-05-08T02:15:00+00:00,BEARISH,27.6,NO_TRADE,NO_ZONE,87.94,87.94,87.6,87.66,0,0,0,0,101.42
2026-05-08T02:20:00+00:00,BEARISH,30.0,NO_TRADE,NO_ZONE,87.65,87.88,87.63,87.83,0,0,0,0,101.42
2026-05-08T02:25:00+00:00,BEARISH,31.4,NO_TRADE,NO_BREAKOUT,87.83,87.91,87.81,87.9,0,0,0,0,101.42
2026-05-08T02:30:00+00:00,BEARISH,32.2,NO_TRADE,NO_BREAKOUT,87.91,88.35,87.87,88.23,0,0,0,0,101.42
2026-05-08T02:35:00+00:00,BEARISH,30.0,NO_TRADE,NO_BREAKOUT,88.23,88.3,88.0,88.06,0,0,0,0,101.42
2026-05-08T02:40:00+00:00,RANGE,28.2,NO_TRADE,RANGE_STRUCTURE,88.05,88.14,88.05,88.13,0,0,0,0,101.42
2026-05-08T02:45:00+00:00,RANGE,27.3,NO_TRADE,RANGE_STRUCTURE,88.13,88.24,88.13,88.24,0,0,0,0,101.42
2026-05-08T02:50:00+00:00,RANGE,26.3,NO_TRADE,RANGE_STRUCTURE,88.24,88.28,88.13,88.14,0,0,0,0,101.42
2026-05-08T02:55:00+00:00,RANGE,25.7,NO_TRADE,RANGE_STRUCTURE,88.14,88.15,88.0,88.06,0,0,0,0,101.42
2026-05-08T03:00:00+00:00,BEARISH,24.5,NO_TRADE,NO_BREAKOUT,88.06,88.06,87.7,87.75,0,0,0,0,101.42
2026-05-08T03:05:00+00:00,BEARISH,24.5,NO_TRADE,NO_BREAKOUT,87.75,87.9,87.63,87.9,0,0,0,0,101.42
2026-05-08T03:10:00+00:00,BEARISH,25.2,NO_TRADE,NO_BREAKOUT,87.9,88.02,87.89,87.99,0,0,0,0,101.42
2026-05-08T03:15:00+00:00,RANGE,23.5,NO_TRADE,RANGE_STRUCTURE,88.0,88.28,88.0,88.17,0,0,0,0,101.42
