ts,session,structure,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-08T09:40:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.53,88.53,88.46,88.47,0,0,0,0,100.0
2026-05-08T09:45:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.47,88.48,88.32,88.39,0,0,0,0,100.0
2026-05-08T09:50:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.39,88.39,88.32,88.38,0,0,0,0,100.0
2026-05-08T09:55:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.39,88.45,88.34,88.44,0,0,0,0,100.0
2026-05-08T10:00:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.44,88.61,88.43,88.58,0,0,0,0,100.0
2026-05-08T10:05:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.58,88.58,88.28,88.33,0,0,0,0,100.0
2026-05-08T10:10:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.34,88.45,88.34,88.41,0,0,0,0,100.0
2026-05-08T10:15:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.42,88.47,88.36,88.45,0,0,0,0,100.0
2026-05-08T10:20:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.45,88.49,88.36,88.48,0,0,0,0,100.0
2026-05-08T10:25:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.48,88.52,88.42,88.46,0,0,0,0,100.0
2026-05-08T10:30:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.46,88.61,88.45,88.59,0,0,0,0,100.0
2026-05-08T10:35:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.59,88.7,88.58,88.64,0,0,0,0,100.0
2026-05-08T10:40:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.63,88.71,88.59,88.67,0,0,0,0,100.0
2026-05-08T10:45:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.66,88.7,88.63,88.68,0,0,0,0,100.0
2026-05-08T10:50:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.68,88.73,88.68,88.71,0,0,0,0,100.0
2026-05-08T10:55:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.71,89.1,88.6,88.63,0,0,0,0,100.0
2026-05-08T11:00:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.64,88.74,88.58,88.65,0,0,0,0,100.0
2026-05-08T11:05:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.66,88.68,88.57,88.58,0,0,0,0,100.0
2026-05-08T11:10:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.58,88.59,88.47,88.59,0,0,0,0,100.0
2026-05-08T11:15:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.6,88.65,88.56,88.65,0,0,0,0,100.0
2026-05-08T11:20:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.65,88.73,88.57,88.68,0,0,0,0,100.0
2026-05-08T11:25:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.67,88.7,88.64,88.66,0,0,0,0,100.0
2026-05-08T11:30:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.66,88.69,88.6,88.66,0,0,0,0,100.0
2026-05-08T11:35:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.66,88.7,88.58,88.61,0,0,0,0,100.0
2026-05-08T11:40:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.62,88.64,88.5,88.52,0,0,0,0,100.0
2026-05-08T11:45:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.53,88.66,88.53,88.64,0,0,0,0,100.0
