timestamp_utc,instrument,timeframe,open,high,low,close,volume,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-05-08T15:40:00Z,LINKUSDT,5m,10.03000000,10.05000000,10.03000000,10.04000000,23678.54000000,0.5747,1.0000,NEUTRAL,0.0
2026-05-08T15:45:00Z,LINKUSDT,5m,10.04000000,10.05000000,10.02000000,10.04000000,14278.36000000,0.5000,1.0000,NEUTRAL,0.0
2026-05-08T15:50:00Z,LINKUSDT,5m,10.04000000,10.08000000,10.03000000,10.08000000,21005.95000000,0.6984,1.0000,NEUTRAL,0.0
2026-05-08T15:55:00Z,LINKUSDT,5m,10.08000000,10.10000000,10.07000000,10.10000000,27781.56000000,0.6980,1.0000,NEUTRAL,0.0
2026-05-08T16:00:00Z,LINKUSDT,5m,10.10000000,10.10000000,10.03000000,10.04000000,30056.83000000,0.2510,0.5000,NEUTRAL,0.0
2026-05-08T16:05:00Z,LINKUSDT,5m,10.05000000,10.06000000,10.04000000,10.05000000,31202.42000000,0.4005,0.5833,NEUTRAL,0.0
2026-05-08T16:10:00Z,LINKUSDT,5m,10.05000000,10.06000000,10.03000000,10.05000000,7424.91000000,0.5249,0.5833,NEUTRAL,0.0
2026-05-08T16:15:00Z,LINKUSDT,5m,10.05000000,10.06000000,10.03000000,10.05000000,8003.30000000,0.5000,0.5833,NEUTRAL,0.0
2026-05-08T16:20:00Z,LINKUSDT,5m,10.04000000,10.07000000,10.04000000,10.06000000,7439.69000000,0.5497,0.6667,NEUTRAL,0.0
2026-05-08T16:25:00Z,LINKUSDT,5m,10.06000000,10.08000000,10.03000000,10.05000000,32235.23000000,0.4751,0.5833,NEUTRAL,0.0
2026-05-08T16:30:00Z,LINKUSDT,5m,10.04000000,10.05000000,10.03000000,10.05000000,5812.28000000,0.4751,0.5833,NEUTRAL,0.0
2026-05-08T16:35:00Z,LINKUSDT,5m,10.05000000,10.07000000,10.04000000,10.07000000,20788.60000000,0.5993,0.7500,NEUTRAL,0.0
2026-05-08T16:40:00Z,LINKUSDT,5m,10.07000000,10.09000000,10.05000000,10.08000000,16767.59000000,0.5992,0.8333,NEUTRAL,0.0
2026-05-08T16:45:00Z,LINKUSDT,5m,10.09000000,10.10000000,10.07000000,10.08000000,26060.51000000,0.5248,0.8333,NEUTRAL,0.0
2026-05-08T16:50:00Z,LINKUSDT,5m,10.08000000,10.10000000,10.07000000,10.08000000,4358.32000000,0.5000,0.8333,NEUTRAL,0.0
2026-05-08T16:55:00Z,LINKUSDT,5m,10.09000000,10.10000000,10.07000000,10.10000000,24909.82000000,0.5990,1.0000,NEUTRAL,0.0
2026-05-08T17:00:00Z,LINKUSDT,5m,10.10000000,10.12000000,10.08000000,10.11000000,18629.56000000,0.5989,1.0000,NEUTRAL,0.0
2026-05-08T17:05:00Z,LINKUSDT,5m,10.11000000,10.13000000,10.09000000,10.10000000,16779.09000000,0.4752,0.9167,NEUTRAL,0.0
2026-05-08T17:10:00Z,LINKUSDT,5m,10.10000000,10.11000000,10.08000000,10.11000000,13246.29000000,0.5247,1.0000,NEUTRAL,0.0
2026-05-08T17:15:00Z,LINKUSDT,5m,10.11000000,10.16000000,10.10000000,10.15000000,11731.14000000,0.7217,1.0000,NEUTRAL,0.0
2026-05-08T17:20:00Z,LINKUSDT,5m,10.16000000,10.16000000,10.14000000,10.15000000,48358.04000000,0.5985,1.0000,NEUTRAL,0.0
2026-05-08T17:25:00Z,LINKUSDT,5m,10.15000000,10.19000000,10.14000000,10.18000000,30317.09000000,0.6473,1.0000,NEUTRAL,0.0
2026-05-08T17:30:00Z,LINKUSDT,5m,10.18000000,10.25000000,10.18000000,10.25000000,105128.23000000,0.9146,1.0000,NEUTRAL,0.0
2026-05-08T17:35:00Z,LINKUSDT,5m,10.25000000,10.28000000,10.24000000,10.26000000,76080.16000000,0.7193,1.0000,NEUTRAL,0.0
2026-05-08T17:40:00Z,LINKUSDT,5m,10.26000000,10.27000000,10.24000000,10.26000000,61570.05000000,0.5244,1.0000,NEUTRAL,0.0
2026-05-08T17:45:00Z,LINKUSDT,5m,10.26000000,10.30000000,10.25000000,10.29000000,64998.07000000,0.6458,1.0000,NEUTRAL,0.0
2026-05-08T17:50:00Z,LINKUSDT,5m,10.28000000,10.33000000,10.25000000,10.31000000,138866.77000000,0.6697,1.0000,NEUTRAL,0.0
2026-05-08T17:55:00Z,LINKUSDT,5m,10.31000000,10.33000000,10.27000000,10.29000000,126194.36000000,0.4514,0.9231,NEUTRAL,0.0
2026-05-08T18:00:00Z,LINKUSDT,5m,10.30000000,10.38000000,10.30000000,10.37000000,154633.16000000,0.8375,1.0000,NEUTRAL,0.0
2026-05-08T18:05:00Z,LINKUSDT,5m,10.37000000,10.43000000,10.35000000,10.41000000,92419.44000000,0.8842,1.0000,NEUTRAL,0.0
2026-05-08T18:10:00Z,LINKUSDT,5m,10.42000000,10.43000000,10.38000000,10.43000000,148950.40000000,0.6917,1.0000,NEUTRAL,0.0
2026-05-08T18:15:00Z,LINKUSDT,5m,10.42000000,10.49000000,10.42000000,10.46000000,171969.45000000,0.6912,1.0000,NEUTRAL,0.0
2026-05-08T18:20:00Z,LINKUSDT,5m,10.46000000,10.50000000,10.46000000,10.49000000,92684.04000000,0.7145,1.0000,NEUTRAL,0.0
2026-05-08T18:25:00Z,LINKUSDT,5m,10.49000000,10.49000000,10.42000000,10.43000000,68697.37000000,0.2843,0.8537,NEUTRAL,0.0
