timestamp_utc,instrument,timeframe,open,high,low,close,volume,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-05-08T20:30:00Z,XRPUSDT,5m,1.41530000,1.41570000,1.41320000,1.41570000,288210.90000000,0.4718,0.2054,NEUTRAL,0.0
2026-05-08T20:35:00Z,XRPUSDT,5m,1.41570000,1.41570000,1.41500000,1.41520000,70323.00000000,0.4912,0.1607,NEUTRAL,0.0
2026-05-08T20:40:00Z,XRPUSDT,5m,1.41520000,1.41540000,1.41380000,1.41430000,123561.60000000,0.4594,0.0804,NEUTRAL,0.0
2026-05-08T20:45:00Z,XRPUSDT,5m,1.41440000,1.41460000,1.41390000,1.41440000,113450.50000000,0.4876,0.0893,NEUTRAL,0.0
2026-05-08T20:50:00Z,XRPUSDT,5m,1.41450000,1.41460000,1.41180000,1.41190000,236439.40000000,0.4133,0.0000,NEUTRAL,0.0
2026-05-08T20:55:00Z,XRPUSDT,5m,1.41200000,1.41220000,1.41110000,1.41210000,327990.90000000,0.4628,0.0157,NEUTRAL,0.0
2026-05-08T21:00:00Z,XRPUSDT,5m,1.41220000,1.41480000,1.41200000,1.41440000,238235.70000000,0.5848,0.2155,NEUTRAL,0.0
2026-05-08T21:05:00Z,XRPUSDT,5m,1.41440000,1.41480000,1.41330000,1.41340000,158117.00000000,0.5053,0.1293,NEUTRAL,0.0
2026-05-08T21:10:00Z,XRPUSDT,5m,1.41340000,1.41500000,1.41280000,1.41420000,176070.50000000,0.5106,0.2277,NEUTRAL,0.0
2026-05-08T21:15:00Z,XRPUSDT,5m,1.41430000,1.41620000,1.41410000,1.41610000,294006.60000000,0.5812,0.4828,NEUTRAL,0.0
2026-05-08T21:20:00Z,XRPUSDT,5m,1.41620000,1.41700000,1.41560000,1.41610000,266958.50000000,0.5335,0.4884,NEUTRAL,0.0
2026-05-08T21:25:00Z,XRPUSDT,5m,1.41610000,1.41650000,1.41540000,1.41560000,55586.10000000,0.4824,0.4568,NEUTRAL,0.0
2026-05-08T21:30:00Z,XRPUSDT,5m,1.41570000,1.41800000,1.41570000,1.41800000,125567.60000000,0.5758,0.8841,NEUTRAL,0.0
2026-05-08T21:35:00Z,XRPUSDT,5m,1.41800000,1.42070000,1.41800000,1.41990000,346929.60000000,0.6091,1.0000,NEUTRAL,0.0
2026-05-08T21:40:00Z,XRPUSDT,5m,1.42000000,1.42100000,1.41950000,1.42100000,186532.20000000,0.5721,1.0000,NEUTRAL,0.0
2026-05-08T21:45:00Z,XRPUSDT,5m,1.42090000,1.42090000,1.41820000,1.42040000,185268.80000000,0.4982,0.9341,NEUTRAL,0.0
2026-05-08T21:50:00Z,XRPUSDT,5m,1.42050000,1.42060000,1.41970000,1.42050000,92802.30000000,0.4930,0.9451,NEUTRAL,0.0
2026-05-08T21:55:00Z,XRPUSDT,5m,1.42060000,1.42190000,1.41980000,1.42170000,177966.60000000,0.5439,1.0000,NEUTRAL,0.0
2026-05-08T22:00:00Z,XRPUSDT,5m,1.42170000,1.42340000,1.42170000,1.42240000,850396.40000000,0.5457,1.0000,NEUTRAL,0.0
2026-05-08T22:05:00Z,XRPUSDT,5m,1.42250000,1.42380000,1.42220000,1.42260000,388368.40000000,0.5193,1.0000,NEUTRAL,0.0
2026-05-08T22:10:00Z,XRPUSDT,5m,1.42270000,1.42340000,1.42200000,1.42340000,204236.80000000,0.5316,1.0000,NEUTRAL,0.0
2026-05-08T22:15:00Z,XRPUSDT,5m,1.42340000,1.42360000,1.42020000,1.42070000,108164.30000000,0.4191,0.7652,NEUTRAL,0.0
2026-05-08T22:20:00Z,XRPUSDT,5m,1.42060000,1.42100000,1.41960000,1.42050000,161990.10000000,0.4455,0.7478,NEUTRAL,0.0
2026-05-08T22:25:00Z,XRPUSDT,5m,1.42040000,1.42040000,1.41700000,1.41930000,1302288.80000000,0.4542,0.6435,NEUTRAL,0.0
2026-05-08T22:30:00Z,XRPUSDT,5m,1.41920000,1.41980000,1.41870000,1.41900000,144483.30000000,0.4683,0.6174,NEUTRAL,0.0
2026-05-08T22:35:00Z,XRPUSDT,5m,1.41890000,1.41930000,1.41810000,1.41810000,112870.10000000,0.4630,0.5310,NEUTRAL,0.0
2026-05-08T22:40:00Z,XRPUSDT,5m,1.41810000,1.41830000,1.41780000,1.41820000,88567.60000000,0.4877,0.4800,NEUTRAL,0.0
2026-05-08T22:45:00Z,XRPUSDT,5m,1.41820000,1.41950000,1.41810000,1.41940000,187790.10000000,0.5440,0.6000,NEUTRAL,0.0
2026-05-08T22:50:00Z,XRPUSDT,5m,1.41940000,1.41940000,1.41800000,1.41850000,164611.00000000,0.4894,0.4674,NEUTRAL,0.0
2026-05-08T22:55:00Z,XRPUSDT,5m,1.41850000,1.41870000,1.41800000,1.41850000,93913.00000000,0.4841,0.3718,NEUTRAL,0.0
2026-05-08T23:00:00Z,XRPUSDT,5m,1.41850000,1.41920000,1.41800000,1.41840000,131060.80000000,0.4965,0.3590,NEUTRAL,0.0
2026-05-08T23:05:00Z,XRPUSDT,5m,1.41830000,1.41830000,1.41680000,1.41690000,73936.50000000,0.4453,0.1667,NEUTRAL,0.0
2026-05-08T23:10:00Z,XRPUSDT,5m,1.41700000,1.41800000,1.41690000,1.41710000,102350.10000000,0.4806,0.0308,NEUTRAL,0.0
2026-05-08T23:15:00Z,XRPUSDT,5m,1.41700000,1.41850000,1.41620000,1.41830000,139234.80000000,0.5458,0.2154,NEUTRAL,0.0
2026-05-08T23:20:00Z,XRPUSDT,5m,1.41820000,1.41840000,1.41740000,1.41750000,87538.70000000,0.4930,0.0923,NEUTRAL,0.0
2026-05-08T23:25:00Z,XRPUSDT,5m,1.41750000,1.41800000,1.41730000,1.41750000,128226.90000000,0.4859,0.0923,NEUTRAL,0.0
2026-05-08T23:30:00Z,XRPUSDT,5m,1.41740000,1.41750000,1.41630000,1.41700000,109969.50000000,0.4824,0.0154,NEUTRAL,0.0
2026-05-08T23:35:00Z,XRPUSDT,5m,1.41690000,1.41690000,1.41550000,1.41580000,129806.00000000,0.4488,0.0000,NEUTRAL,0.0
2026-05-08T23:40:00Z,XRPUSDT,5m,1.41580000,1.41660000,1.41580000,1.41630000,82420.40000000,0.4965,0.0658,NEUTRAL,0.0
2026-05-08T23:45:00Z,XRPUSDT,5m,1.41630000,1.41800000,1.41590000,1.41770000,187100.10000000,0.5582,0.2500,NEUTRAL,0.0
2026-05-08T23:50:00Z,XRPUSDT,5m,1.41770000,1.41900000,1.41770000,1.41790000,96047.40000000,0.5317,0.2763,NEUTRAL,0.0
2026-05-08T23:55:00Z,XRPUSDT,5m,1.41790000,1.41870000,1.41780000,1.41820000,181836.40000000,0.5141,0.4898,NEUTRAL,0.0
2026-05-09T00:00:00Z,XRPUSDT,5m,1.41820000,1.41940000,1.41800000,1.41830000,198377.20000000,0.5088,0.5319,NEUTRAL,0.0
2026-05-09T00:05:00Z,XRPUSDT,5m,1.41830000,1.41970000,1.41830000,1.41920000,71262.00000000,0.5334,0.9444,NEUTRAL,0.0
2026-05-09T00:10:00Z,XRPUSDT,5m,1.41910000,1.42040000,1.41890000,1.41940000,103318.80000000,0.5229,1.0000,NEUTRAL,0.0
2026-05-09T00:15:00Z,XRPUSDT,5m,1.41930000,1.41980000,1.41850000,1.41930000,101549.60000000,0.5000,0.9722,NEUTRAL,0.0
2026-05-09T00:20:00Z,XRPUSDT,5m,1.41940000,1.42050000,1.41940000,1.42010000,124861.00000000,0.5264,1.0000,NEUTRAL,0.0
2026-05-09T00:25:00Z,XRPUSDT,5m,1.42010000,1.42060000,1.42000000,1.42060000,115793.70000000,0.5317,1.0000,NEUTRAL,0.0
2026-05-09T00:30:00Z,XRPUSDT,5m,1.42060000,1.42170000,1.42050000,1.42130000,222194.00000000,0.5334,1.0000,NEUTRAL,0.0
2026-05-09T00:35:00Z,XRPUSDT,5m,1.42120000,1.42150000,1.42060000,1.42090000,182364.60000000,0.4982,0.9273,NEUTRAL,0.0
2026-05-09T00:40:00Z,XRPUSDT,5m,1.42080000,1.42180000,1.42060000,1.42130000,316968.80000000,0.5070,1.0000,NEUTRAL,0.0
2026-05-09T00:45:00Z,XRPUSDT,5m,1.42130000,1.42360000,1.42120000,1.42310000,375209.90000000,0.5702,1.0000,NEUTRAL,0.0
