timestamp_utc,instrument,action,reason_code,p_model_up,p_market_up,edge,balance,position_qty,position_value,total_equity,price
2026-05-07T12:05:00+00:00,SOLUSDT,HOLD,HOLD,0.5446,0.9798,0.4352,100.24,0.0,0.0,100.24,89.75
2026-05-07T12:10:00+00:00,SOLUSDT,HOLD,HOLD,0.6222,1.0,0.3778,100.24,0.0,0.0,100.24,89.98
2026-05-07T12:15:00+00:00,SOLUSDT,HOLD,HOLD,0.525,0.9271,0.4021,100.24,0.0,0.0,100.24,89.91
2026-05-07T12:20:00+00:00,SOLUSDT,HOLD,HOLD,0.4304,0.8161,0.3857,100.24,0.0,0.0,100.24,89.82
2026-05-07T12:25:00+00:00,SOLUSDT,HOLD,HOLD,0.5361,0.9425,0.4064,100.24,0.0,0.0,100.24,89.93
2026-05-07T12:30:00+00:00,SOLUSDT,HOLD,HOLD,0.5083,0.8889,0.3806,100.24,0.0,0.0,100.24,89.89
2026-05-07T12:35:00+00:00,SOLUSDT,HOLD,HOLD,0.4944,0.9012,0.4068,100.24,0.0,0.0,100.24,89.9
2026-05-07T12:40:00+00:00,SOLUSDT,HOLD,HOLD,0.5083,0.8793,0.371,100.24,0.0,0.0,100.24,89.91
2026-05-07T12:45:00+00:00,SOLUSDT,HOLD,HOLD,0.4081,0.5636,0.1555,100.24,0.0,0.0,100.24,89.74
2026-05-07T12:50:00+00:00,SOLUSDT,HOLD,HOLD,0.4694,0.6182,0.1488,100.24,0.0,0.0,100.24,89.77
2026-05-07T12:55:00+00:00,SOLUSDT,HOLD,HOLD,0.5084,0.6182,0.1098,100.24,0.0,0.0,100.24,89.77
2026-05-07T13:00:00+00:00,SOLUSDT,HOLD,HOLD,0.3828,0.2364,0.1464,100.24,0.0,0.0,100.24,89.56
2026-05-07T13:05:00+00:00,SOLUSDT,HOLD,HOLD,0.2956,0.0,0.2956,100.24,0.0,0.0,100.24,89.3
2026-05-07T13:10:00+00:00,SOLUSDT,HOLD,HOLD,0.3261,0.0,0.3261,100.24,0.0,0.0,100.24,89.12
2026-05-07T13:15:00+00:00,SOLUSDT,BUY,BUY_EXECUTED,0.6007,0.314,0.2867,75.18,0.280343,25.06,100.24,89.39
2026-05-07T13:20:00+00:00,SOLUSDT,BUY,BUY_EXECUTED,0.5978,0.3605,0.2373,56.38,0.490507,43.87,100.25,89.43
2026-05-07T13:25:00+00:00,SOLUSDT,HOLD,HOLD,0.4104,0.1512,0.2592,56.38,0.490507,43.78,100.16,89.25
2026-05-07T13:30:00+00:00,SOLUSDT,HOLD,HOLD,0.4047,0.0581,0.3466,56.38,0.490507,43.74,100.12,89.17
2026-05-07T13:35:00+00:00,SOLUSDT,HOLD,HOLD,0.382,0.0,0.382,56.38,0.490507,43.66,100.04,89.0
2026-05-07T13:40:00+00:00,SOLUSDT,HOLD,HOLD,0.4129,0.0,0.4129,56.38,0.490507,43.62,100.01,88.93
2026-05-07T13:45:00+00:00,SOLUSDT,HOLD,HOLD,0.2827,0.0,0.2827,56.38,0.490507,43.45,99.83,88.58
2026-05-07T13:50:00+00:00,SOLUSDT,HOLD,HOLD,0.4577,0.0714,0.3863,56.38,0.490507,43.5,99.88,88.68
2026-05-07T13:55:00+00:00,SOLUSDT,HOLD,HOLD,0.5282,0.0741,0.4541,56.38,0.490507,43.5,99.88,88.68
2026-05-07T14:00:00+00:00,SOLUSDT,HOLD,HOLD,0.4379,0.0,0.4379,56.38,0.490507,43.44,99.83,88.57
2026-05-07T14:05:00+00:00,SOLUSDT,HOLD,HOLD,0.469,0.0,0.469,56.38,0.490507,43.44,99.83,88.57
2026-05-07T14:10:00+00:00,SOLUSDT,BUY,BUY_EXECUTED,0.6744,0.2313,0.4431,42.29,0.649105,57.69,99.98,88.88
2026-05-07T14:15:00+00:00,SOLUSDT,HOLD,HOLD,0.3955,0.0,0.3955,42.29,0.649105,57.47,99.76,88.54
2026-05-07T14:20:00+00:00,SOLUSDT,HOLD,HOLD,0.3927,0.0,0.3927,42.29,0.649105,57.46,99.75,88.52
2026-05-07T14:25:00+00:00,SOLUSDT,HOLD,HOLD,0.4831,0.0,0.4831,42.29,0.649105,57.45,99.73,88.5
2026-05-07T14:30:00+00:00,SOLUSDT,HOLD,HOLD,0.3243,0.0,0.3243,42.29,0.649105,57.25,99.54,88.2
2026-05-07T14:35:00+00:00,SOLUSDT,HOLD,HOLD,0.3011,0.0,0.3011,42.29,0.649105,57.12,99.41,88.0
2026-05-07T14:40:00+00:00,SOLUSDT,HOLD,HOLD,0.4489,0.0064,0.4425,42.29,0.649105,57.13,99.42,88.01
2026-05-07T14:45:00+00:00,SOLUSDT,BUY,BUY_EXECUTED,0.5539,0.0699,0.484,31.72,0.769107,67.76,99.47,88.1
2026-05-07T14:50:00+00:00,SOLUSDT,TIMEOUT_SELL,TIMEOUT_SELL_EXECUTED,0.6048,0.1678,0.437,99.58,0.0,0.0,99.58,88.24
2026-05-07T14:55:00+00:00,SOLUSDT,HOLD,HOLD,0.4887,0.1049,0.3838,99.58,0.0,0.0,99.58,88.15
2026-05-07T15:00:00+00:00,SOLUSDT,HOLD,HOLD,0.5425,0.1888,0.3537,99.58,0.0,0.0,99.58,88.27
2026-05-07T15:05:00+00:00,SOLUSDT,BUY,BUY_EXECUTED,0.6526,0.384,0.2686,74.69,0.28137,24.9,99.58,88.48
2026-05-07T15:10:00+00:00,SOLUSDT,HOLD,HOLD,0.4915,0.3077,0.1838,74.69,0.28137,24.86,99.55,88.36
2026-05-07T15:15:00+00:00,SOLUSDT,HOLD,HOLD,0.3241,0.11,0.2141,74.69,0.28137,24.79,99.48,88.11
2026-05-07T15:20:00+00:00,SOLUSDT,HOLD,HOLD,0.3779,0.0215,0.3564,74.69,0.28137,24.77,99.45,88.02
2026-05-07T15:25:00+00:00,SOLUSDT,HOLD,HOLD,0.4972,0.0682,0.429,74.69,0.28137,24.78,99.46,88.06
2026-05-07T15:30:00+00:00,SOLUSDT,BUY,BUY_EXECUTED,0.6642,0.375,0.2892,56.02,0.492756,43.53,99.54,88.33
2026-05-07T15:35:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.599,0.4205,0.1785,56.02,0.492756,43.54,99.56,88.37
2026-05-07T15:40:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.5396,0.4773,0.0623,56.02,0.492756,43.57,99.58,88.42
2026-05-07T15:45:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.5706,0.5909,0.0203,56.02,0.492756,43.62,99.63,88.52
2026-05-07T15:50:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.4887,0.5114,0.0227,56.02,0.492756,43.58,99.6,88.45
2026-05-07T15:55:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.4066,0.5926,0.186,56.02,0.492756,43.52,99.54,88.32
2026-05-07T16:00:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.4689,0.6346,0.1657,56.02,0.492756,43.53,99.54,88.33
2026-05-07T16:05:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.4972,0.6154,0.1182,56.02,0.492756,43.52,99.54,88.32
2026-05-07T16:10:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.5141,0.6731,0.159,56.02,0.492756,43.53,99.55,88.35
2026-05-07T16:15:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.3951,0.2885,0.1066,56.02,0.492756,43.44,99.45,88.15
2026-05-07T16:20:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.6412,0.9608,0.3196,56.02,0.492756,43.61,99.62,88.5
2026-05-07T16:25:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.7114,1.0,0.2886,56.02,0.492756,43.71,99.72,88.7
2026-05-07T16:30:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.4718,0.7794,0.3076,56.02,0.492756,43.63,99.65,88.55
2026-05-07T16:35:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.4067,0.6471,0.2404,56.02,0.492756,43.59,99.6,88.46
2026-05-07T16:40:00+00:00,SOLUSDT,TIMEOUT_SELL,MAX_TRADES_DAY,0.5085,0.7353,0.2268,99.63,0.0,0.0,99.63,88.52
2026-05-07T16:45:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.6015,0.9559,0.3544,99.63,0.0,0.0,99.63,88.67
2026-05-07T16:50:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.4915,0.8235,0.332,99.63,0.0,0.0,99.63,88.58
2026-05-07T16:55:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.3897,0.6029,0.2132,99.63,0.0,0.0,99.63,88.43
2026-05-07T17:00:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.4802,0.6618,0.1816,99.63,0.0,0.0,99.63,88.47
2026-05-07T17:05:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.5113,0.6406,0.1293,99.63,0.0,0.0,99.63,88.47
2026-05-07T17:10:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.5621,0.7818,0.2197,99.63,0.0,0.0,99.63,88.58
2026-05-07T17:15:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.3556,0.2182,0.1374,99.63,0.0,0.0,99.63,88.27
2026-05-07T17:20:00+00:00,SOLUSDT,HOLD,MAX_TRADES_DAY,0.5141,0.5455,0.0314,99.63,0.0,0.0,99.63,88.45
