ts,structure,adx,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-08T22:15:00+00:00,RANGE,17.2,NO_TRADE,RANGE_STRUCTURE,92.65,92.71,92.52,92.54,0,0,0,0,5.28
2026-05-08T22:20:00+00:00,BULLISH,16.6,NO_TRADE,NO_BREAKOUT,92.54,92.59,92.47,92.55,0,0,0,0,5.28
2026-05-08T22:25:00+00:00,BULLISH,15.2,NO_TRADE,NO_BREAKOUT,92.54,92.54,92.4,92.42,0,0,0,0,5.28
2026-05-08T22:30:00+00:00,BULLISH,14.2,NO_TRADE,ADX_TOO_LOW(14.2),92.42,92.48,92.38,92.39,0,0,0,0,5.28
2026-05-08T22:35:00+00:00,BULLISH,13.5,NO_TRADE,ADX_TOO_LOW(13.5),92.38,92.47,92.34,92.34,0,0,0,0,5.28
2026-05-08T22:40:00+00:00,BULLISH,12.0,NO_TRADE,ADX_TOO_LOW(12.0),92.35,92.41,92.34,92.36,0,0,0,0,5.28
2026-05-08T22:45:00+00:00,BULLISH,11.0,NO_TRADE,ADX_TOO_LOW(11.0),92.37,92.46,92.36,92.44,0,0,0,0,5.28
2026-05-08T22:50:00+00:00,BULLISH,11.4,NO_TRADE,ADX_TOO_LOW(11.4),92.43,92.45,92.27,92.28,0,0,0,0,5.28
2026-05-08T22:55:00+00:00,BULLISH,11.4,NO_TRADE,ADX_TOO_LOW(11.4),92.29,92.3,92.25,92.3,0,0,0,0,5.28
2026-05-08T23:00:00+00:00,BULLISH,11.4,NO_TRADE,ADX_TOO_LOW(11.4),92.3,92.3,92.23,92.24,0,0,0,0,5.28
2026-05-08T23:05:00+00:00,BULLISH,11.4,NO_TRADE,ADX_TOO_LOW(11.4),92.23,92.23,92.06,92.1,0,0,0,0,5.28
2026-05-08T23:10:00+00:00,BULLISH,12.7,NO_TRADE,ADX_TOO_LOW(12.7),92.1,92.18,92.03,92.04,0,0,0,0,5.28
