ts,session,structure,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-07T15:15:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.36,88.51,88.1,88.11,0,0,0,0,102.0
2026-05-07T15:20:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.1,88.17,87.91,88.02,0,0,0,0,102.0
2026-05-07T15:25:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.02,88.16,87.79,88.06,0,0,0,0,102.0
2026-05-07T15:30:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.07,88.37,88.02,88.33,0,0,0,0,102.0
2026-05-07T15:35:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.32,88.47,88.3,88.37,0,0,0,0,102.0
2026-05-07T15:40:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.38,88.5,88.33,88.42,0,0,0,0,102.0
2026-05-07T15:45:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.42,88.53,88.4,88.52,0,0,0,0,102.0
2026-05-07T15:50:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.52,88.58,88.38,88.45,0,0,0,0,102.0
2026-05-07T15:55:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.46,88.48,88.22,88.32,0,0,0,0,102.0
2026-05-07T16:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.32,88.49,88.25,88.33,0,0,0,0,102.0
2026-05-07T16:05:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.33,88.35,88.12,88.32,0,0,0,0,102.0
2026-05-07T16:10:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.32,88.37,88.17,88.35,0,0,0,0,102.0
2026-05-07T16:15:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.35,88.36,88.08,88.15,0,0,0,0,102.0
2026-05-07T16:20:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.15,88.53,88.15,88.5,0,0,0,0,102.0
2026-05-07T16:25:00+00:00,CRYPTO,BULLISH,NO_TRADE,INVALID_PLAN,88.49,88.75,88.49,88.7,0,0,0,0,102.0
2026-05-07T16:30:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.69,88.79,88.55,88.55,0,0,0,0,102.0
2026-05-07T16:35:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.55,88.55,88.35,88.46,0,0,0,0,102.0
2026-05-07T16:40:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.45,88.56,88.42,88.52,0,0,0,0,102.0
2026-05-07T16:45:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.53,88.74,88.49,88.67,0,0,0,0,102.0
2026-05-07T16:50:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.67,88.69,88.49,88.58,0,0,0,0,102.0
2026-05-07T16:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.57,88.64,88.3,88.43,0,0,0,0,102.0
